UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
Q8NE71	ABCF1	Host	8863.833333	12670	8643.5	9884.5	9194.5	429.601555	414.2554616	437.7692963	492.2964445	469.308278	0.099373625	0.766647596	0.999718578	0.076840381	0.60591081	0.801947016	0.278183177	0.176028293	0.447802597	0.140119002	0.276483077	0.557048553	0.1047	0.96303	0.97155
P53396	ACLY	Host	16544.83333	42022	17054	14911.5	18709.5	824.4438677	1373.941832	880.4365005	749.3795892	983.2744907	-0.102415607	0.759473874	0.999718578	0.199544942	0.188340484	0.422664989	-0.034292707	0.87085346	0.949367884	0.18486814	0.171825207	0.439057467	0.32896	0.97777	0.98672
P53396-2	ACLY	Host	215.1666667	2258	217	174	108.5	11.79592411	73.82705859	12.33555963	9.731197286	6.376363651	-0.138206571	0.681687207	0.999718578	0.840324066	0.036856737	0.152832524	-0.494502969	0.214470377	0.501881824	-1.124596631	0.030305769	0.176860346	NA	NA	NA
Q13155	AIMP2	Host	3573.666667	8856	3192	3451	3473	175.3335902	289.5537781	162.5179188	172.9011226	179.7355143	-0.105789533	0.752182883	0.999718578	-0.134113555	0.395728089	0.650230124	0.036368439	0.860125235	0.945422209	0.040381595	0.779179091	0.901261303	0.09541	0.96303	0.97155
P04075-2	ALDOA	Host	26488	34640	27377	22116.5	30432.5	1303.095674	1132.581625	1391.482024	1084.743386	1571.666847	0.081776112	0.806882795	0.999718578	0.220357382	0.141464935	0.356470409	-0.238197755	0.285087829	0.584804935	0.249344257	0.049679827	0.227966735	0.85184	0.85463	0.97155
Q8IWZ3-6	ANKHD1	Host	6891.166667	10305	6319.5	6357	5962	328.679544	336.9299552	313.8151122	310.9535379	296.0954268	0.263276933	0.432209495	0.999718578	-0.087945478	0.566001541	0.777136598	-0.043673322	0.82927672	0.932959921	-0.112582383	0.386928685	0.654136748	0.7704	0.96303	0.99617
Q8IWZ3-2	ANKHD1	Host	202	665	219.5	265.5	277	11.07072964	21.74268997	12.47767437	14.84846482	16.27882702	0.53235933	0.124014568	0.999718578	0.252496931	0.497277288	0.728095969	0.319145727	0.417642347	0.704744173	0.69069924	0.111833581	0.35521796	NA	NA	NA
Q9NXR5	ANKRD10	Host	146.3333333	44	68	68.5	96.5	8.027743597	1.438614073	3.86552099	3.830959851	5.671143708	-0.37826962	0.389350745	0.999718578	-1.110248475	0.008624269	0.057039349	-0.579078601	0.164951566	0.430810716	-0.718506337	0.121934177	0.371492175	NA	NA	NA
Q8N8A2-2	ANKRD44	Host	1949	2469	1902	2165	2255.5	89.96499674	80.72586699	92.57362223	102.4397151	107.3935743	-0.072136537	0.83037744	0.999718578	0.191785308	0.301068049	0.559711611	0.231972827	0.297541724	0.597270183	0.20493971	0.202721972	0.474389399	0.45808	0.96303	0.97155
Q10567	AP1B1	Host	4206.833333	6102	4337	3872	4444.5	211.4259139	199.5096154	223.8293883	193.5428594	231.9951424	0.063288992	0.850312859	0.999718578	0.169439272	0.309790377	0.570011465	-0.045754606	0.830298116	0.933463727	0.198536848	0.181187283	0.448027744	0.29807	0.96303	0.97242
Q10567-3	AP1B1	Host	92.16666667	210	95.5	88	107.5	4.396233519	6.866112623	4.675534273	4.205418067	5.328220405	0.043985055	0.903437383	0.999718578	0.018790122	0.945989856	0.977218584	-0.254847939	0.413067556	0.701060186	0.438329952	0.165651543	0.433107245	0.38077	0.98176	0.97155
O94973-2	AP2A2	Host	2210.166667	7662	2167.5	2214.5	2439	110.6381951	250.5150234	113.2857697	111.5919725	127.8239681	-0.145238377	0.664762845	0.999718578	0.160785021	0.341894945	0.599133728	0.147198992	0.513180464	0.772774583	0.202229185	0.19367222	0.463011994	0.5612	0.96303	0.97155
O94973	AP2A2	Host	107.8333333	290	101.5	80	111.5	5.910464531	9.481774575	5.769858537	4.474113695	6.552668637	-0.231316181	0.51273088	0.999718578	-0.000823242	0.998330068	0.99970412	-0.434429378	0.291834271	0.591552411	0.261156299	0.538279086	0.766081908	NA	NA	NA
Q9BZZ5	API5	Host	10405.33333	15573	7787	6968	8462	518.8266515	509.1712947	400.964777	345.8628931	443.1717215	-0.328578306	0.32673277	0.999718578	-0.258908182	0.10453543	0.296189843	-0.491983171	0.024750883	0.12775565	-0.214663536	0.099333192	0.331837002	0.03733	0.96303	0.97155
Q9BZZ5-2	API5	Host	96.5	81	59	44	67.5	5.289616422	2.648357726	3.353907918	2.460762532	3.966862179	-0.042340111	0.916011222	0.999718578	-0.646590023	0.100721853	0.289721421	-1.087653764	0.01270914	0.080768086	-0.314579687	0.479482286	0.724293994	NA	NA	NA
P53367	ARFIP1	Host	1846	4674	1952	2049	2228.5	87.77648964	152.8200495	97.95203562	99.22191704	111.7854808	-0.151405362	0.651922254	0.999718578	0.228446748	0.21107239	0.453908062	0.218437388	0.325747121	0.623749706	0.379166605	0.057432372	0.243050083	0.23256	0.96303	0.97155
P98171-2	ARHGAP4	Host	2522.5	3899	2703.5	2939	3128	125.8523666	127.4808244	140.5687651	149.3905683	163.8278245	0.070522277	0.833726889	0.999718578	0.163998895	0.307876622	0.567784476	0.223434519	0.295375625	0.594063461	0.427448293	0.020182709	0.147415967	0.10003	0.96303	0.97155
H7C3G3	ARHGAP4	Host	155.5	918	376	292.5	290	6.810903924	30.0147209	17.2989266	13.11101623	12.94397634	0.226332826	0.507600653	0.999718578	1.280822658	0.002887378	0.02580584	0.88709675	0.029318836	0.143239905	1.011079906	0.042715814	0.21112023	NA	NA	NA
Q92888-3	ARHGEF1	Host	6635.666667	15093	7780	8616	7427.5	324.3894893	493.477323	394.1669497	427.9319714	376.4184352	0.147935658	0.658613531	0.999718578	0.324819233	0.044341764	0.171583172	0.429176917	0.037598488	0.169151279	0.216731762	0.110110102	0.352798187	0.7362	0.96303	0.97155
M0QZR4	ARHGEF1	Host	67.83333333	213	77.5	127	94.5	3.251224298	6.964199947	3.890746624	6.03682182	4.712638371	0.520970356	0.156684744	0.999718578	0.221770178	0.425479996	0.675821526	0.766661196	0.019240976	0.107917939	0.74413252	0.046050547	0.217943318	0.67929	0.96303	0.97155
Q66PJ3	ARL6IP4	Host	1691.333333	1880	2136.5	1820	2473	79.78146557	61.46805587	107.1883015	88.72407287	123.4123552	-0.035845658	0.915420712	0.999718578	0.526250572	0.009540438	0.06108457	0.26335741	0.240338023	0.532921118	0.704792025	0.006667619	0.087978644	0.39211	0.96303	0.97155
Q8N2F6	ARMC10	Host	989.8333333	2877	982.5	1052.5	1172	43.9649772	94.06574294	46.09679164	48.25973376	53.05354937	0.011778703	0.972072569	0.999718578	0.38594457	0.103016786	0.293641554	0.410670783	0.104378592	0.328692788	0.210203849	0.303171986	0.583287336	0.84799	0.96303	0.97155
